UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547396,16-Sep-2005,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547395,31-Aug-2000,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547394,01-Aug-2006,,Coquillettidia sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547393,06-Aug-2002,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547392,08-Aug-2007,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547391,25-Aug-2010,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547390,29-Aug-2004,,Cyanocitta cristata,,Genesee,New York,,,,,PRJNA262930
,KX547389,07-Sep-2012,,Culiseta sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547388,26-Aug-2010,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547387,22-Aug-2006,,Aedes sp.,,Chautauqua,New York,,,,,PRJNA262930
,KX547386,21-Jul-2000,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547385,27-Jul-2006,,Cyanocitta cristata,,Richmond,New York,,,,,PRJNA262930
,KX547384,07-Aug-2006,,Carpodacus mexicanus,,Richmond,New York,,,,,PRJNA262930
,KX547383,04-Oct-2002,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547382,24-Aug-2007,,Cyanocitta cristata,,Richmond,New York,,,,,PRJNA262930
,KX547381,03-Oct-2003,,Cyanocitta cristata,,Putnam,New York,,,,,PRJNA262930
,KX547380,11-Jul-2012,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547379,28-Sep-2004,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547378,11-Sep-2002,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547377,21-Jul-2005,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547376,16-Sep-2010,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547375,08-Sep-2011,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547374,23-Aug-2002,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547373,30-Sep-2009,,Corvus brachyrhynchos,,Niagara,New York,,,,,PRJNA262930
,KX547372,13-Aug-2009,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547371,20-Sep-2007,,Corvus brachyrhynchos,,Jefferson,New York,,,,,PRJNA262930
,KX547370,30-Aug-2005,,Culex sp.,,Dutchess,New York,,,,,PRJNA262930
,KX547369,25-Aug-2011,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547368,28-Aug-2009,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547367,21-Jul-2006,,Passer domesticus,,Richmond,New York,,,,,PRJNA262930
,KX547366,10-Aug-2005,,Carpodacus mexicanus,,Bronx,New York,,,,,PRJNA262930
,KX547365,30-Jul-2008,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547364,13-Sep-2002,,Aedes sp.,,Rockland,New York,,,,,PRJNA262930
,KX547363,13-Aug-2003,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547362,31-Aug-2005,,Culex sp.,,Dutchess,New York,,,,,PRJNA262930
,KX547361,12-Aug-2010,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547360,11-Sep-2005,,Corvus brachyrhynchos,,Putnam,New York,,,,,PRJNA262930
,KX547359,14-Aug-2006,,Corvus brachyrhynchos,,Nassau,New York,,,,,PRJNA262930
,KX547358,20-Sep-2013,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547357,07-Aug-2007,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547356,07-Aug-2012,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547355,13-Sep-2005,,Cyanocitta cristata,,Albany,New York,,,,,PRJNA262930
,KX547354,03-Oct-2003,,Corvus brachyrhynchos,,Schoharie,New York,,,,,PRJNA262930
,KX547353,11-Jul-2000,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547352,14-Aug-2008,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547351,04-Aug-2004,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547350,28-Jul-2006,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547349,31-Aug-2006,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547348,14-Aug-2009,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547347,25-May-2005,,Corvus brachyrhynchos,,Monroe,New York,,,,,PRJNA262930
,KX547346,18-Jun-2004,,Corvus brachyrhynchos,,Albany,New York,,,,,PRJNA262930
